Webb Society Deep-Sky Observer's Handbook, Volume 4, Galaxies
A Catalogue of Galaxies, 430 - 700, pg xxx - xxx

WS     : Webb Society Catalog Index
Cat    : Catalog identifier, e.g., NGC or IC
RA     : Right Ascension
Dec    : Declination
m      : Apparent magnitude
AD     : Apparent diameter
Con Cl : Concentration classes of clusters
Con    : Constellation

|WS  |Cat          |RA     |Dec   |m    |AD     |Con Cl |Con|
| 587|NGC 3992     |
| 587|M109         |
| 588|NGC 4026     |
| 589|NGC 4027     |
| 589|VV 66        |
| 589|Arp 22       |
| 590|NGC 4038     |
| 590|NGC 4039     |
| 590|VV 245       |
| 590|Arp 244      |
| 591|NGC 4041     |
| 592|NGC 4051     |
| 592|Mkn 79       |
| 593|NGC 4088     |
| 593|Arp 18       |
| 594|NGC 4100     |
| 595|NGC 4111     |
| 596|NGC 4138     |
| 597|NGC 4144     |
| 598|NGC 4151     |
| 599|NGC 4157     |
| 600|NGC 4179     |
| 601|NGC 4203     |
| 602|NGC 4206     |
| 603|NGC 4214     |
| 603|NGC 4228     |
| 604|NGC 4216     |
| 605|NGC 4217     |
| 606|NGC 4236     |
| 607|NGC 4244     |
| 608|NGC 4251     |
| 609|NGC 4258     |
| 609|M106         |
| 610|NGC 4274     |
| 611|NGC 4278     |
| 612|NGC 4290     |
| 613|NGC 4314     |
| 614|NGC 4319     |
| 615|NGC 4346     |
| 616|NGC 4395     |
| 617|NGC 4414     |
| 618|NGC 4419     |
| 619|NGC 4448     |
| 620|3C 273       |
| 621|NGC 4449     |
| 622|NGC 4450     |
| 623|NGC 4485     |
| 623|VV 30        |
| 624|NGC 4490     |
| 624|VV 30        |
| 624|Arp 269      |
| 625|NGC 4494     |
| 626|NGC 4527     |
| 627|NGC 4565     |
| 628|NGC 4605     |
| 629|NGC 4618     |
| 629|VV 73        |
| 629|Arp 23       |
| 630|NGC 4625     |
| 630|IC 3765      |
| 631|NGC 4627     |
| 632|NGC 4631     |
| 632|Arp 281      |
| 633|NGC 4651     |
| 633|VV 56        |
| 633|Arp 189      |
| 634|NGC 4656     |
| 634|NGC 4657     |
| 635|NGC 4665     |
| 635|NGC 4664     |
| 636|NGC 4666     |
| 637|NGC 4670     |
| 637|Arp 163      |
| 637|Haro 9       |
| 638|NGC 4676     |
| 638|ic 819       |
| 638|ic 820       |
| 638|VV 224       |
| 638|Arp 242      |
| 640|NGC 4710     |
| 641|NGC 4725     |
| 642|NGC 4762     |
| 643|NGC 4775     |
| 644|NGC 4793     |
| 645|NGC 4826     |
| 645|M64          |
| 646|NGC 4861     |
| 646|Arp 266      |
| 646|Mkn 59       |
| 647|NGC 4868     |
| 648|NGC 4900     |
| 649|NGC 5005     |
| 650|NGC 5033     |
| 651|NGC 5055     |
| 651|M63          |
| 652|NGC 5128     |
| 652|Arp 153      |
| 653|NGC 5194     |
| 653|NGC 5195     |
| 653|M51          |
| 653|VV 1         |
| 653|Arp 85       |
| 654|NGC 5198     |
| 655|NGC 5221     |
| 655|VV 315       |
| 655|Arp 288      |
| 656|NGC 5222     |
| 656|VV 315       |
| 656|Arp 288      |
| 657|NGC 5236     |
| 639|NGC 5248     |
| 658|NGC 5273     |
