M13,NGC 6205,Great Hercules Cluster,Globular cluster
M62,NGC 6266,Flickering Globular,Globular cluster
C69,NGC 6302,Bug Nebula,Planetary Nebula
H11-IV,NGC 6369,Little Ghost Nebula,Planetary Nebula
M6,NGC 6405,Butterfly Cluster,Open cluster
H586-II,NGC 6445,Box Nebula,Planetary Nebula
M7,NGC 6475,Ptolemy's Cluster,Open cluster
M76,NGC 650,Little Dumbbell Nebula,Planetary Nebula
M76,NGC 650,Cork Nebula,Planetary Nebula
M20,NGC 6514,Trifid Nebula,H II region nebula with cluster
M8,NGC 6523,Lagoon Nebula,Nebula with cluster
M21,NGC 6531,Webb's Cross Cluster,Open cluster
C6,NGC 6543,Cat's Eye Nebula,Planetary Nebula
M16,NGC 6611,Eagle Nebula,H II region nebula with cluster
M18,NGC 6613,Black Swan Cluster,Open cluster
M17,NGC 6618,Omega,H II region nebula with cluster
M17,NGC 6618,Swan,H II region nebula with cluster
M17,NGC 6618,Horseshoe,H II region nebula with cluster
M17,NGC 6618,Lobster,H II region nebula with cluster
M17,NGC 6618,Checkmark Nebula,H II region nebula with cluster
M22,NGC 6656,Great Sagittarius Cluster,Globular cluster
M11,NGC 6705,Wild Duck Cluster,Open cluster
M57,NGC 6720,Ring Nebula,Planetary nebula
C68,NGC 6729,R CrA Nebula,Nebula
C93,NGC 6752,Great Peacock Globular,Globular Cluster
M55,NGC 6809,Specter Cluster,Globular cluster
H51-IV,NGC 6818,Little Gem Nebula,Planetary Nebula
C57,NGC 6822,Barnard's Galaxy,Barred irregular galaxy
C15,NGC 6826,Blinking Planetary,Planetary Nebula
M71,NGC 6838,Angelfish Cluster,Globular cluster
M27,NGC 6853,Dumbbell Nebula,Planetary nebula
C27,NGC 6888,Crescent Nebula,Nebula
H16-IV,NGC 6905,Blue Flash Nebula,Planetary Nebula
M29,NGC 6913,Cooling Tower,Open cluster
C12,NGC 6946,Fireworks Galaxy,Spiral Galaxy
C34,NGC 6960,West Veil Nebula,Supernova Remnant
C33,NGC 6992,East Veil Nebula,Supernova Remnant
C20,NGC 7000,North America Nebula,Nebula
H192-I,NGC 7008,Fetus Nebula,Planetary Nebula
C55,NGC 7009,Saturn Nebula,Planetary Nebula
C55,NGC 7009,Saturn Nebula,Planetary Nebula
C4,NGC 7023,Iris Nebula,Open Cluster and Nebula
M15,NGC 7078,Great Pegasus Cluster,Globular cluster
M30,NGC 7099,Jellyfish Cluster,Globular cluster
C63,NGC 7293,Helix Nebula,Planetary Nebula
H77-VIII,NGC 7380,Wizard Nebula,Open Cluster and Nebula
C44,NGC 7479,Superman Galaxy,Barred Spiral Galaxy
C11,NGC 7635,Bubble Nebula,Nebula
M52,NGC 7654,Scorpion Cluster,Open cluster
C22,NGC 7662,Blue Snowball,Planetary Nebula
H30-VI,NGC 7789,Caroline's Rose,Open Cluster
H30-VI,NGC 7789,Caroline's Haystack,Open Cluster
H30-VI,NGC 7789,White Rose Cluster,Open Cluster
C14,NGC 869,Double Cluster,Open Cluster
C14,NGC 869,H Persei of Double Cluster,Open Cluster
C14,NGC 884,Double Cluster,Open Cluster
C14,NGC 884,Chi Persei Cluster,Open Cluster
C23,NGC 891,Silver Sliver Galaxy,Spiral Galaxy
C9,Sh2-155,Cave Nebula,Nebula
M40,*,Winnecke-4,Star System
M45,*,Pleiades,Open Cluster
M45,*,Seven Sisters,Open Cluster
M45,*,Subaru,Open Cluster
C99,*,Coalsack Nebula,Dark Nebula
C99,*,Coal Sack Nebula,Dark Nebula
