# Retrieved from https://en.wikipedia.org/wiki/Herschel-400-Catalogue, open with lib.stars.catalog.HerschelCatalog.java

# Column - Description
# A - Herschel number
# B - Messier or Caldwell number
# C - NGC or IC number
# D - Common name
# E - Type of object
# F - Distance in kilo light years (kly)
# G - Constellation
# H - Apparent visual magnitude
# I - Additional Messier or Caldwell number
# J - Additional NGC or IC number
# K - Additional common name

75,,NGC 2204,,Open Cluster,8.6,Canis Major,8.6,,,
76,,NGC 2215,,Open Cluster,3.1,Monoceros,8.4,,,
77,,NGC 2232,,Open Cluster,1.3,Monoceros,3.9,,,
78,C50,NGC 2244,Satellite Cluster,Open Cluster,4.9,Monoceros,4.8,,,
79,,NGC 2251,,Open Cluster,5.5,Monoceros,7.3,,,
80,,NGC 2264,Christmas Tree Cluster and Cone Nebula,Open Cluster and Nebula,2.6,Monoceros,3.9,,,
81,,NGC 2266,,Open Cluster,11,Gemini,10,,,
82,,NGC 2281,,Open Cluster,1.8,Auriga,5.4,,,
83,,NGC 2286,,Open Cluster,7.6,Monoceros,7.5,,,
84,,NGC 2301,,Open Cluster,2.8,Monoceros,6,,,
85,,NGC 2304,,Open Cluster,13.6,Gemini,10,,,
86,,NGC 2311,,Open Cluster,7.4,Monoceros,10,,,
87,,NGC 2324,,Open Cluster,17.2,Monoceros,8.4,,,
88,,NGC 2335,,Open Cluster,5.6,Monoceros,7.2,,,
89,,NGC 2343,,Open Cluster,3.7,Monoceros,6.7,,,
90,,NGC 2353,,Open Cluster,4.1,Monoceros,7.1,,,
91,,NGC 2354,,Open Cluster,4.3,Canis Major,6.5,,,
92,,NGC 2355,,Open Cluster,5.4,Gemini,10,,,
93,C58,NGC 2360,Caroline's Cluster,Open Cluster,4,Canis Major,7.2,,,
94,C64,NGC 2362,Tau Canis Majoris Cluster,Open Cluster and Nebula,5.1,Canis Major,4.1,,,
95,,NGC 2371,,Planetary Nebula,4.4,Gemini,13,,,
96,,NGC 2372,Double Bubble Nebula,Planetary Nebula,4.4,Gemini,13,,,Peanut Nebula
97,C39,NGC 2392,Eskimo Nebula,Planetary Nebula,4,Gemini,10,,,Clown Face Nebula
98,,NGC 2395,,Open cluster,1.3,Gemini,8,,,
99,C7,NGC 2403,,Galaxy,14000,Camelopardalis,8.4,,,
100,C25,NGC 2419,,Globular Cluster,275,Lynx,10.4,,,
101,,NGC 2420,,Open Cluster,,Gemini,8.3,,,
