https://heasarc.gsfc.nasa.gov/cgi-bin/W3Browse/w3browse.pl

Results from heasarc_ngc2000: NGC2000.0: Complete New General Catalog and Index Catalog
Coordinate system:  Equatorial, angular diameter in minutes of arc
|name    |ra     |dec   |app_mag|app_mag_flag|limit_ang_diameter|ang_diameter|source_type|lii   |bii   |ref_revision|constellation|description                                          |class                                              |
|NGC 5339|13 53.8|-07 56| 12.0  |p           |                  |  2.1       |Gx         |328.44| 51.82|S           |Vir          |vF, pS, R                                            |                                             GALAXY|
|IC 48   |00 43.6|-07 53|       |            |                  |            |U          |117.06|-70.67|D           |Cet          |pF, S (var brightness?)                              |                                       UNIDENTIFIED|
|NGC 1720|04 59.3|-07 52| 13.0  |p           |                  |  1.8       |Gx         |207.02|-28.47|S           |Eri          |pF, pL, lbM, 1726 nr                                 |                                             GALAXY|
|NGC 1234|03 09.6|-07 51| 15.0  |p           |                  |            |Gx         |188.89|-52.05|R           |Eri          |eF, S, iR, * or st inv                               |                                             GALAXY|
|NGC 1110|02 49.3|-07 51|       |            |                  |  2.7       |Gx         |183.79|-56.09|T           |Eri          |eF, pL, E 348deg                                     |                                             GALAXY|
|NGC 3967|11 55.2|-07 50| 15.0  |p           |                  |            |Gx         |279.66| 52.48|R           |Crt          |vF, S, F* close p                                    |                                             GALAXY|
|NGC 4995|13 09.7|-07 50| 11.0  |            |                  |  2.5       |Gx         |310.79| 54.76|S           |Vir          |pB, pL, R, vgpmbM, *8 np                             |                                             GALAXY|
|IC 384  |04 39.3|-07 50|       |            |                  |            |U          |204.38|-32.87|D           |Eri          |F, eS, R, *11 n                                      |                                       UNIDENTIFIED|
|IC 398  |04 58.2|-07 47|       |            |                  |  1.5       |Gx         |206.80|-28.68|V           |Eri          |eF, pL, E 5deg , dif                                 |                                             GALAXY|
|NGC 1152|02 57.6|-07 47| 15.0  |p           |                  |            |Gx         |185.89|-54.42|R           |Eri          |eeF, S, R, v diffic, sf of 2, * s                    |                                             GALAXY|
|NGC 829 |02 08.7|-07 47|       |            |                  |  1.4       |Gx         |169.91|-63.37|V           |Cet          |F, S, *11 s, 1st of 3                                |                                             GALAXY|
|NGC 2316|06 59.7|-07 46|       |            |                  |  4.0       |Nb         |220.78| -1.71|S           |Mon          |pF, S, R, r, S st inv                                |                                  REFLECTION NEBULA|
|NGC 2317|06 58.8|-07 46|       |            |                  |            |-          |220.68| -1.91|R           |Mon          |close Dneb with 2316                                 |                                       UNIDENTIFIED|
|NGC 830 |02 09.0|-07 46| 14.0  |p           |                  |            |Gx         |170.01|-63.31|R           |Cet          |pF, vS, R, 2nd of 3                                  |                                             GALAXY|
|NGC 1726|04 59.7|-07 45| 12.1  |            |                  |  1.4       |Gx         |206.96|-28.33|S           |Eri          |F, R, *13, s                                         |                                             GALAXY|
|NGC 842 |02 09.8|-07 45|       |            |                  |  2.0       |Gx         |170.32|-63.16|V           |Cet          |vF, vS, R, psbM, 3rd of 3                            |                                             GALAXY|
|NGC 3959|11 54.6|-07 44| 14.0  |p           |                  |            |Gx         |279.37| 52.52|R           |Crt          |vF, S, bet 2 vF st                                   |                                             GALAXY|
|NGC 3115|10 05.2|-07 43|  9.2  |            |                  |  8.3       |Gx         |247.77| 36.78|S           |Sex          |vB, L, vmE 46deg , vgsmbMEN                          |                                             GALAXY|
|NGC 4925|13 02.1|-07 42| 14.0  |p           |                  |            |Gx         |307.55| 55.08|R           |Vir          |cF, S                                                |                                             GALAXY|
|NGC 1148|02 57.1|-07 42| 15.0  |p           |                  |            |Gx         |185.65|-54.47|R           |Eri          |eF, pS, R, v diffic, np of 2                         |                                             GALAXY|
|NGC 116 |00 27.2|-07 42| 14.0  |p           |                  |            |Gx         |105.35|-69.74|R           |Cet          |vF                                                   |                                             GALAXY|
|NGC 4403|12 26.3|-07 41| 14.0  |p           |                  |            |Gx         |292.12| 54.66|R           |Vir          |vF, vS, E                                            |                                             GALAXY|
|NGC 4404|12 26.4|-07 41| 14.0  |p           |                  |            |Gx         |292.17| 54.66|R           |Vir          |vF, vS, E                                            |                                             GALAXY|
|NGC 4942|13 04.3|-07 39| 14.0  |p           |                  |  1.8       |Gx         |308.51| 55.08|S           |Vir          |vF, S                                                |                                             GALAXY|
|NGC 1286|03 17.8|-07 39| 15.0  |p           |                  |            |Gx         |190.46|-50.26|R           |Eri          |eF, eS, R, 4 B st s                                  |                                             GALAXY|
|IC 4627 |16 54.1|-07 38|       |            |                  |            |U          | 11.47| 21.81|D           |Oph          |eF, eS, dif, *12 s 12"                               |                                       UNIDENTIFIED|
|IC 3908 |12 56.7|-07 35|       |            |                  |            |U          |305.22| 55.26|D           |Vir          |eF, eS, cE 160deg ; F trail?                         |                                       UNIDENTIFIED|
|IC 4071 |13 02.0|-07 35| 15.0  |p           |                  |  0.5       |Gx         |307.52| 55.19|M           |Vir          |eeF, eS, cE 10deg                                    |                                             GALAXY|
|NGC 6539|18 04.8|-07 35|  9.6  |            |                  |  6.9       |Gb         | 20.79|  6.78|S           |Ser          |no description                                       |GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC|
|NGC 1084|02 46.0|-07 35| 10.6  |            |                  |  2.9       |Gx         |182.49|-56.56|S           |Eri          |vB, pL, E, gpmbM                                     |                                             GALAXY|
|NGC 337 |00 59.8|-07 35| 11.6  |            |                  |  2.8       |Gx         |129.11|-70.35|S           |Cet          |pF, L, E, glbM, *10 f 21s                            |                                             GALAXY|
|NGC 7600|23 18.9|-07 35| 13.0  |p           |                  |  2.4       |Gx         | 70.37|-60.63|S           |Aqr          |cF, S, R, psmbM                                      |                                             GALAXY|
|NGC 4504|12 32.3|-07 34| 12.0  |p           |                  |  4.0       |Gx         |294.64| 55.00|S           |Vir          |pB, cL, iE, gvlbM, er                                |                                             GALAXY|
|NGC 5343|13 54.0|-07 34| 14.0  |p           |                  |            |Gx         |328.75| 52.14|R           |Vir          |vF, S, R, lbM                                        |                                             GALAXY|
|NGC 2364|07 20.8|-07 34|       |            |                  |            |OC         |223.02|  3.02|FF          |Mon          |Cl, pC, st pL, bifid                                 |                                  OPEN STAR CLUSTER|
|NGC 3481|10 59.5|-07 31| 14.0  |p           |                  |            |Gx         |260.88| 46.02|R           |Crt          |eF, vS, rr, prob vF Cl, *9 5' sf                     |                                             GALAXY|
|NGC 636 |01 39.1|-07 31| 11.3  |            |                  |  2.3       |Gx         |155.06|-67.37|S           |Cet          |pB, vS, R, mbM, r                                    |                                             GALAXY|
|IC 1409 |21 53.3|-07 30|       |            |                  |            |U          | 49.44|-43.51|D           |Aqr          |eF, S, iF                                            |                                       UNIDENTIFIED|
|NGC 5812|15 01.0|-07 27| 11.2  |            |                  |  2.4       |Gx         |349.82| 43.32|S           |Lib          |cB, S, R, svmbM                                      |                                             GALAXY|
|IC 1084 |15 01.3|-07 27| 14.0  |p           |                  |  0.4       |Gx         |349.90| 43.27|M           |Lib          |eF, S, R, dif                                        |                                             GALAXY|
|NGC 2110|05 52.2|-07 27| 14.0  |p           |                  |            |Gx         |212.92|-16.54|FF          |Ori          |eF, cS, lE, pslbM, er                                |                                             GALAXY|
|NGC 5534|14 17.7|-07 25| 14.0  |p           |                  |  1.4       |Gx         |337.18| 49.63|S           |Vir          |pF, st inv, *12 np                                   |                                             GALAXY|
|NGC 1303|03 20.7|-07 25| 15.0  |p           |                  |            |Gx         |190.78|-49.53|R           |Eri          |vF, sev st inv                                       |                                             GALAXY|
|NGC 607 |01 34.3|-07 25|       |            |                  |            |U          |152.17|-67.82|DD          |Cet          |*11, *14 close s                                     |                                       UNIDENTIFIED|
|IC 1533 |00 10.6|-07 25|       |            |                  |            |U          | 94.90|-68.04|D           |Cet          |eeF, vS, R, v diffic; *7.5 n, *9 s                   |                                       UNIDENTIFIED|
|IC 799  |12 33.7|-07 24|       |            |                  |            |U          |295.21| 55.21|X           |Vir          |eF, eS, R (eF* att p?); = 4520                       |                                       UNIDENTIFIED|
|NGC 4520|12 33.8|-07 23|       |            |                  |            |Gx         |295.25| 55.23|S           |Vir          |vF, S, 2 vS st inv                                   |                                             GALAXY|
|IC 1458 |22 56.8|-07 23| 14.0  |p           |                  |  1.2       |Gx         | 63.63|-56.42|M           |Aqr          |vF, pL, dif                                          |                                             GALAXY|
|NGC 5917|15 21.4|-07 22| 14.0  |p           |                  |            |Gx         |354.85| 39.93|R           |Lib          |eF, vS, psbM                                         |                                             GALAXY|
|IC 980  |14 10.4|-07 21|       |            |                  |            |U          |334.77| 50.58|D           |Vir          |F, S, R, N = 13m, r                                  |                                       UNIDENTIFIED|
|NGC 297 |00 55.0|-07 21|       |            |                  |            |DS?        |125.54|-70.20|FF          |Cet          |eF                                                   |                                               STAR|
|NGC 298 |00 55.0|-07 21| 13.0  |p           |                  |            |Gx         |125.54|-70.20|R           |Cet          |pF                                                   |                                             GALAXY|
|NGC 1285|03 17.8|-07 20| 14.0  |p           |                  |            |Gx         |190.05|-50.08|R           |Eri          |pF, S                                                |                                             GALAXY|
|NGC 615 |01 35.1|-07 20| 11.5  |            |                  |  4.0       |Gx         |152.54|-67.66|S           |Cet          |pB, pL, ilE, gbM, r, *8 np 10'                       |                                             GALAXY|
|NGC 50  |00 14.7|-07 20|       |            |                  |            |Gx         | 97.50|-68.37|V           |Cet          |vF                                                   |                                             GALAXY|
|NGC 600 |01 33.1|-07 19| 12.4  |            |                  |  3.5       |Gx         |151.34|-67.86|S           |Cet          |eeF                                                  |                                             GALAXY|
|IC 388  |04 42.0|-07 18| 15.0  |p           |                  |  0.4       |Gx         |204.18|-32.03|M           |Eri          |vF, v dif, S* inv                                    |                                             GALAXY|
|IC 389  |04 42.0|-07 18| 15.0  |p           |                  |  0.4       |Gx         |204.18|-32.03|M           |Eri          |F, S, R, stellar                                     |                                             GALAXY|
|NGC 2215|06 21.0|-07 17|  8.4  |            |                  | 11.0       |OC         |216.01|-10.06|S           |Mon          |Cl, cL, pRi, pC, st 11...15                          |                                  OPEN STAR CLUSTER|
|IC 379  |04 31.9|-07 15| 15.0  |p           |                  |  0.9       |Gx         |202.73|-34.23|M           |Eri          |vF, S, R, dif                                        |                                             GALAXY|
|NGC 293 |00 54.3|-07 14| 14.0  |p           |                  |            |Gx         |125.02|-70.09|R           |Cet          |vF, S                                                |                                             GALAXY|
|IC 1060 |14 51.9|-07 13| 14.0  |p           |                  |  1.0       |Gx         |347.63| 44.95|M           |Lib          |no descr                                             |                                             GALAXY|
|IC 2118 |05 06.9|-07 13|       |            |                  |180.0       |Nb         |207.32|-26.50|S           |Eri          |F, eL, iF, 1779 inv s                                |                                  REFLECTION NEBULA|
|IC 390  |04 42.1|-07 13| 15.0  |p           |                  |  0.7       |Gx         |204.11|-31.97|M           |Eri          |vF, vS, R                                            |                                             GALAXY|
|NGC 5306|13 49.1|-07 12| 14.0  |p           |                  |            |Gx         |327.13| 52.94|R           |Vir          |vF, vS, R, r                                         |                                             GALAXY|
|NGC 2309|06 56.2|-07 12| 11.0  |p           |                  |  3.0       |OC         |219.88| -2.22|S           |Mon          |Cl, pL, pRi, mC, st 13                               |                                  OPEN STAR CLUSTER|
|IC 1276 |18 10.7|-07 12|       |            |                  |  7.1       |Gb         | 21.83|  5.68|S           |Ser          |eeF, vL, v diffic, D* close p                        |GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC|
|NGC 2306|06 54.6|-07 11|       |            |                  |            |-          |219.69| -2.57|R           |Mon          |Cl, P, vlC                                           |                                       UNIDENTIFIED|
|NGC 47  |00 14.5|-07 11| 13.0  |p           |                  |            |Gx         | 97.53|-68.21|R           |Cet          |vF, vS                                               |                                             GALAXY|
|IC 4209 |13 10.4|-07 10|       |            |                  |  1.6       |Gx         |311.23| 55.40|V           |Vir          |eF, cS, cE 100deg                                    |                                             GALAXY|
|IC 630  |10 38.5|-07 10| 13.0  |p           |                  |            |Gx         |254.92| 42.98|M           |Sex          |F, eS, stellar, *9.5 sp 1'.5                         |                                             GALAXY|
|NGC 58  |00 14.5|-07 10|       |            |                  |            |U          | 97.55|-68.20|DD          |Cet          |vF, pS, R; = 47                                      |                                       UNIDENTIFIED|
|NGC 991 |02 35.5|-07 09| 12.0  |p           |                  |  2.7       |Gx         |178.73|-58.25|S           |Cet          |vF, cL, iF, vlbM                                     |                                             GALAXY|
|IC 1521 |23 59.0|-07 09|       |            |                  |            |U          | 88.63|-66.46|D           |Cet          |vF, S, iF                                            |                                       UNIDENTIFIED|
|NGC 54  |00 15.1|-07 08| 14.0  |p           |                  |            |Gx         | 97.95|-68.22|R           |Cet          |vF, pS, R, 50 sp                                     |                                             GALAXY|
|IC 1257 |17 27.1|-07 06|       |            |                  |            |U          | 16.52| 15.15|D           |Oph          |F, pL, lbM                                           |                                       UNIDENTIFIED|
|IC 385  |04 39.5|-07 06|       |            |                  |            |U          |203.63|-32.49|D           |Eri          |vF, vS, R, dif                                       |                                       UNIDENTIFIED|
|IC 430  |05 38.5|-07 05|       |            |                  | 11.0       |Nb         |211.00|-19.43|S           |Ori          |neb band 10' l, np *5                                |                                  REFLECTION NEBULA|
|IC 387  |04 41.7|-07 05|       |            |                  |  1.5       |Gx         |203.91|-32.00|V           |Eri          |eF, pL, v dif, diffic                                |                                             GALAXY|
|NGC 4671|12 45.8|-07 04| 14.0  |p           |                  |            |Gx         |300.44| 55.78|R           |Vir          |pF, S, R, psmbM                                      |                                             GALAXY|
|NGC 2302|06 51.9|-07 04|  8.9  |            |                  |  3.0       |OC         |219.28| -3.11|S           |Mon          |Cl, L, P, lC                                         |                                  OPEN STAR CLUSTER|
|IC 209  |02 09.0|-07 04| 13.0  |p           |                  |  0.8       |Gx         |169.01|-62.78|H           |Cet          |pB, S, dif                                           |                                             GALAXY|
|NGC 7441|22 59.5|-07 04| 15.0  |p           |                  |            |Gx         | 64.86|-56.73|R           |Aqr          |vF, pS, iR, *10 p; (decl?)                           |                                             GALAXY|
|NGC 275 |00 51.1|-07 04| 12.5  |            |                  |  1.5       |Gx         |122.69|-69.94|S           |Cet          |vF, S, R, sf of 2                                    |                                             GALAXY|
|IC 631  |10 39.0|-07 03|       |            |                  |            |U          |254.94| 43.15|D           |Sex          |vF, vS, dif                                          |                                       UNIDENTIFIED|
|IC 429  |05 38.3|-07 03|       |            |                  |            |U          |210.94|-19.46|D           |Ori          |vF, vS, R (inv in f one?)                            |                                       UNIDENTIFIED|
|IC 325  |03 30.8|-07 03|       |            |                  |            |U          |192.39|-47.24|D           |Eri          |vF, S, R, vlbM                                       |                                       UNIDENTIFIED|
|NGC 274 |00 51.0|-07 03| 13.0  |p           |                  |  1.7       |Gx         |122.62|-69.92|S           |Cet          |pB, pS, smbM, np of 2                                |                                             GALAXY|
|NGC 4626|12 42.4|-07 02| 14.0  |p           |                  |            |Gx         |298.94| 55.77|R           |Vir          |vF, cS, lE, glbM                                     |                                             GALAXY|
|IC 206  |02 07.5|-07 02|       |            |                  |            |U          |168.33|-62.99|D           |Cet          |pF, S, irr R                                         |                                       UNIDENTIFIED|
|NGC 596 |01 32.9|-07 02| 10.9  |            |                  |  3.5       |Gx         |150.91|-67.62|S           |Cet          |pB, R, bM, R, *6 f 12'                               |                                             GALAXY|
|IC 626  |10 37.0|-07 01| 14.0  |p           |                  |            |Gx         |254.41| 42.84|M           |Sex          |F, S, R, r                                           |                                             GALAXY|
|NGC 2299|06 51.1|-07 00|       |            |                  |            |-          |219.13| -3.26|R           |Mon          |Cl of 30 or 40 st                                    |                                       UNIDENTIFIED|
|NGC 7065|21 26.7|-07 00|       |            |                  |  1.4       |Gx         | 45.70|-37.54|S           |Aqr          |vF, sbM                                              |                                             GALAXY|
|NGC 356 |01 03.3|-07 00| 13.0  |p           |                  |            |Gx         |131.43|-69.68|R           |Cet          |vF, S, iR                                            |                                             GALAXY|
|IC 4212 |13 12.1|-06 59|       |            |                  |            |U          |312.02| 55.52|FF          |Vir          |eF, cS, cE 20deg                                     |                                       UNIDENTIFIED|
|IC 207  |02 07.7|-06 59|       |            |                  |            |U          |168.35|-62.92|D           |Cet          |pF, S, irr R                                         |                                       UNIDENTIFIED|
|IC 127  |01 29.8|-06 59|       |            |                  |  2.1       |Gx         |149.00|-67.89|V           |Cet          |F, pS, dif, *11.5 close                              |                                             GALAXY|
|IC 574  |09 54.4|-06 58| 15.0  |p           |                  |  0.5       |Gx         |244.89| 35.27|M           |Sex          |pB, S, R, mbM, * 12s                                 |                                             GALAXY|
|NGC 4628|12 42.4|-06 57| 14.0  |p           |                  |            |Gx         |298.93| 55.85|R           |Vir          |cF, S, E, gbM                                        |                                             GALAXY|
|IC 68   |01 00.4|-06 57|       |            |                  |            |U          |129.36|-69.71|D           |Cet          |vF, suspected                                        |                                       UNIDENTIFIED|
|IC 550  |09 40.5|-06 56| 14.0  |p           |                  |  0.6       |Gx         |242.21| 32.63|M           |Hya          |F, eS, stellar                                       |                                             GALAXY|
|NGC 1051|02 41.1|-06 56|       |            |                  |  1.9       |Gx         |180.15|-57.07|T           |Cet          |eF, lE npsf, * att np; = IC 249                      |                                             GALAXY|
|IC 249  |02 41.1|-06 56|       |            |                  |  1.9       |Gx         |180.15|-57.07|T           |Cet          |pB, vS, R, dif, 1051 f                               |                                             GALAXY|
|IC 158  |01 45.9|-06 56|       |            |                  |            |U          |158.03|-66.02|D           |Cet          |vF, vS, R, mbM                                       |                                       UNIDENTIFIED|
|IC 1477 |23 17.2|-06 56| 15.0  |p           |                  |  0.6       |Gx         | 70.71|-59.87|M           |Aqr          |F, S, r                                              |                                             GALAXY|
|IC 586  |09 59.9|-06 55| 15.0  |p           |                  |  0.4       |Gx         |245.94| 36.33|M           |Sex          |F, vS, mottled                                       |                                             GALAXY|
|IC 242  |02 38.5|-06 55| 15.0  |p           |                  |  0.9       |Gx         |179.34|-57.54|M           |Cet          |eF, eS, vF* close                                    |                                             GALAXY|
|IC 243  |02 38.5|-06 55| 15.0  |p           |                  |  0.9       |Gx         |179.34|-57.54|M           |Cet          |vF, vS, R, bM                                        |                                             GALAXY|
|IC 219  |02 18.6|-06 55|       |            |                  |            |U          |172.58|-61.08|D           |Cet          |pB, S, stellar                                       |                                       UNIDENTIFIED|
|IC 67   |01 00.3|-06 55|       |            |                  |            |U          |129.28|-69.68|D           |Cet          |vF, suspected                                        |                                       UNIDENTIFIED|
|NGC 7596|23 17.2|-06 55|       |            |                  |            |Gx         | 70.73|-59.86|R           |Aqr          |vF, pS, lE 0deg , lbMN                               |                                             GALAXY|
|IC 597  |10 10.2|-06 54|       |            |                  |            |U          |248.08| 38.24|D           |Sex          |F, vS, R                                             |                                       UNIDENTIFIED|
|NGC 961 |02 31.2|-06 54|       |            |                  |            |-          |176.99|-58.86|R           |Cet          |eF, pS, E 230deg , *10 att                           |                                       UNIDENTIFIED|
|NGC 586 |01 31.6|-06 54| 13.2  |            |                  |  1.6       |Gx         |149.99|-67.64|S           |Cet          |vF, vS, R                                            |                                             GALAXY|
|NGC 345 |01 01.4|-06 54| 13.0  |p           |                  |            |Gx         |130.05|-69.63|R           |Cet          |vF, vS, gbM                                          |                                             GALAXY|
|NGC 340 |01 00.6|-06 53| 14.0  |p           |                  |            |Gx         |129.48|-69.64|R           |Cet          |vF, S, E                                             |                                             GALAXY|
|NGC 273 |00 50.8|-06 53| 13.0  |p           |                  |  2.6       |Gx         |122.48|-69.75|S           |Cet          |vF, vS                                               |                                             GALAXY|
|NGC 4786|12 54.5|-06 52| 13.0  |p           |                  |  2.0       |Gx         |304.29| 56.00|S           |Vir          |pB, pS, mbM, r                                       |                                             GALAXY|
|IC 1712 |01 31.4|-06 52|       |            |                  |            |U          |149.84|-67.63|X           |Cet          |no descr; = 584                                      |                                       UNIDENTIFIED|
|NGC 584 |01 31.3|-06 52| 10.4  |            |                  |  3.8       |Gx         |149.78|-67.64|S           |Cet          |vB, pL, R, mbM, p of 2; = IC 1712                    |                                             GALAXY|
|IC 575  |09 54.6|-06 51|       |            |                  |            |Gx         |244.82| 35.38|A           |Sex          |F, S, R, gbM                                         |                                             GALAXY|
|NGC 64  |00 17.5|-06 51| 14.0  |p           |                  |            |Gx         | 99.72|-68.18|R           |Cet          |eeF, vS, R, v diffic                                 |                                             GALAXY|
|NGC 4885|13 00.5|-06 50| 15.0  |p           |                  |            |Gx         |306.95| 55.97|R           |Vir          |vF, S, E                                             |                                             GALAXY|
|IC 2471 |09 25.2|-06 50| 14.0  |p           |                  |  0.7       |Gx         |239.41| 29.68|M           |Hya          |vF, 2 or 3 st in neb; = 2876?                        |                                             GALAXY|
|NGC 6821|19 44.4|-06 50| 14.0  |p           |                  |  1.1       |Gx         | 32.80|-14.87|S           |Aql          |F, pL, R                                             |                                             GALAXY|
|IC 184  |01 59.9|-06 50| 14.0  |p           |                  |  1.0       |Gx         |164.73|-64.00|M           |Cet          |eF, vS                                               |                                             GALAXY|
|NGC 3035|09 51.8|-06 49| 13.0  |p           |                  |            |Gx         |244.24| 34.87|R           |Sex          |pF, pL, R, sev vF st inv                             |                                             GALAXY|
|NGC 788 |02 01.1|-06 49| 12.3  |            |                  |  1.8       |Gx         |165.25|-63.81|S           |Cet          |pF, pS, R, bM                                        |                                             GALAXY|
|NGC 350 |01 02.0|-06 49| 15.0  |p           |                  |            |Gx         |130.45|-69.53|R           |Cet          |eF                                                   |                                             GALAXY|
|NGC 349 |01 01.9|-06 49| 13.0  |p           |                  |            |Gx         |130.38|-69.54|R           |Cet          |vF, vS                                               |                                             GALAXY|
|NGC 347 |01 01.4|-06 49| 14.0  |p           |                  |            |Gx         |130.03|-69.55|R           |Cet          |vF, vS                                               |                                             GALAXY|
|NGC 4813|12 56.6|-06 48| 15.0  |p           |                  |            |Gx         |305.23| 56.05|R           |Vir          |F, S, R, bM                                          |                                             GALAXY|
|NGC 4981|13 08.8|-06 47| 12.0  |p           |                  |  2.8       |Gx         |310.62| 55.83|S           |Vir          |B, pL, R, *10 1' sf                                  |                                             GALAXY|
|NGC 7108|21 42.4|-06 47|       |            |                  |            |Gx         | 48.43|-40.82|R           |Aqr          |vF, S, R, stell                                      |                                             GALAXY|
|IC 215  |02 14.2|-06 47| 15.0  |p           |                  |  1.0       |Gx         |170.70|-61.72|M           |Cet          |pB, E pf                                             |                                             GALAXY|
|IC 71   |01 01.3|-06 47|       |            |                  |            |U          |129.95|-69.52|D           |Cet          |vF, suspected                                        |                                       UNIDENTIFIED|
|NGC 342 |01 00.8|-06 47| 14.0  |p           |                  |            |Gx         |129.59|-69.53|R           |Cet          |vF, vS                                               |                                             GALAXY|
|IC 774  |12 18.8|-06 46|       |            |                  |            |U          |288.64| 55.20|D           |Vir          |F, vS, R, gbM                                        |                                       UNIDENTIFIED|
|IC 72   |01 01.5|-06 46|       |            |                  |            |U          |130.08|-69.50|D           |Cet          |neb; *7 sf 2'                                        |                                       UNIDENTIFIED|
|NGC 883 |02 19.0|-06 45| 13.0  |p           |                  |            |Gx         |172.49|-60.89|R           |Cet          |pF, pS, vlE, bM, D* nr                               |                                             GALAXY|
|IC 833  |12 56.7|-06 44|       |            |                  |            |U          |305.28| 56.11|D           |Vir          |vF, S, R                                             |                                       UNIDENTIFIED|
|NGC 2876|09 25.2|-06 43| 14.0  |p           |                  |            |Gx         |239.30| 29.75|R           |Hya          |F, S, sev vF st inv                                  |                                             GALAXY|
|IC 337  |03 37.1|-06 43|       |            |                  |            |U          |193.21|-45.74|D           |Eri          |eeF, pL, 3 st nr                                     |                                       UNIDENTIFIED|
|NGC 7111|21 41.8|-06 43| 15.0  |p           |                  |            |Gx         | 48.40|-40.66|R           |Aqr          |eF, eS, R, bM                                        |                                             GALAXY|
|IC 3812 |12 49.9|-06 42| 15.0  |p           |                  |  0.8       |Gx         |302.25| 56.17|M           |Vir          |eeF, eS, cE 15deg                                    |                                             GALAXY|
|IC 1080 |14 58.1|-06 42| 14.0  |p           |                  |  0.4       |Gx         |349.75| 44.36|M           |Lib          |vF, vS, R, lbM                                       |                                             GALAXY|
|NGC 1999|05 36.5|-06 42|       |            |                  | 16.0       |Nb         |210.40|-19.70|S           |Ori          |*10-11 inv in neb                                    |                                  REFLECTION NEBULA|
|IC 427  |05 36.6|-06 40|       |            |                  |            |U          |210.38|-19.66|D           |Ori          |L, prob conn with Great Neb                          |                                       UNIDENTIFIED|
|NGC 1022|02 38.5|-06 40| 11.4  |            |                  |  2.5       |Gx         |178.99|-57.37|S           |Cet          |cB, pL, R, mbM, *11 nf 2'                            |                                             GALAXY|
|NGC 4775|12 53.8|-06 37| 12.0  |p           |                  |  2.2       |Gx         |303.99| 56.25|S           |Vir          |F, cL, R, vglbM, r                                   |                                             GALAXY|
|NGC 7406|22 54.0|-06 36| 15.0  |p           |                  |            |Gx         | 63.92|-55.38|R           |Aqr          |F, S, lE                                             |                                             GALAXY|
|NGC 881 |02 18.7|-06 35|       |            |                  |  2.9       |Gx         |172.15|-60.82|S           |Cet          |F, pS, E, bM, 2 or 3 st nr                           |                                             GALAXY|
|NGC 1666|04 48.5|-06 34| 14.0  |p           |                  |  1.3       |Gx         |204.29|-30.26|S           |Eri          |vF, pS, R                                            |                                             GALAXY|
|NGC 7120|21 44.4|-06 33| 15.0  |p           |                  |            |Gx         | 49.03|-41.13|R           |Aqr          |vF, S, vlE                                           |                                             GALAXY|
|NGC 3122|10 06.5|-06 32|       |            |                  |            |Gx         |246.95| 37.81|R           |Sex          |F, S, lE, er                                         |                                             GALAXY|
|IC 428  |05 36.6|-06 31|       |            |                  |            |U          |210.24|-19.60|D           |Ori          |L, prob conn with Great Neb                          |                                       UNIDENTIFIED|
|NGC 7721|23 38.8|-06 31| 11.8  |            |                  |  3.4       |Gx         | 79.71|-63.12|S           |Aqr          |pF, cL, E 12deg +/- , vgbM                           |                                             GALAXY|
|NGC 4951|13 05.1|-06 30| 12.0  |p           |                  |  3.3       |Gx         |309.04| 56.21|S           |Vir          |F, pL, lE, r                                         |                                             GALAXY|
|NGC 1202|03 04.9|-06 29|       |            |                  |            |Gx         |185.98|-52.19|R           |Eri          |eF, S, 2 st 4' nf                                    |                                             GALAXY|
|IC 286  |03 04.8|-06 29|       |            |                  |            |U          |185.95|-52.21|D           |Eri          |vF                                                   |                                       UNIDENTIFIED|
|NGC 3518|11 04.3|-06 28|       |            |                  |            |Gx         |261.35| 47.57|R           |Leo          |eF, eS, lE                                           |                                             GALAXY|
|NGC 3110|10 04.1|-06 28| 13.0  |p           |                  |            |Gx         |246.38| 37.41|R           |Sex          |F, vS, iR, r                                         |                                             GALAXY|
|NGC 3007|09 47.6|-06 26| 15.0  |p           |                  |            |Gx         |243.07| 34.31|R           |Sex          |eF, S, iR, lbM, r                                    |                                             GALAXY|
|NGC 6059|16 07.4|-06 25|       |            |                  |            |U          |  5.05| 31.96|DD          |Oph          |vF, S, R                                             |                                       UNIDENTIFIED|
|NGC 4731|12 51.0|-06 24| 11.0  |p           |                  |  6.5       |Gx         |302.74| 56.47|S           |Vir          |vF, pL, E                                            |                                             GALAXY|
|NGC 2170|06 07.5|-06 24|       |            |                  |  2.0       |Nb         |213.69|-12.67|S           |Mon          |*9 in vF, pL neb, E 170deg                           |                                  REFLECTION NEBULA|
|IC 4589 |16 07.4|-06 23|       |            |                  |            |SS         |  5.08| 31.98|FF          |Oph          |*13, in eF neb?                                      |                                               STAR|
|NGC 3064|09 55.6|-06 22| 14.0  |p           |                  |            |Gx         |244.56| 35.88|R           |Sex          |eF, vS, E 45deg                                      |                                             GALAXY|
|NGC 1423|03 42.6|-06 22| 15.0  |p           |                  |            |Gx         |193.83|-44.40|R           |Eri          |eeF, S, R, v diffic                                  |                                             GALAXY|
|NGC 1468|03 52.2|-06 21| 15.0  |p           |                  |            |Gx         |195.53|-42.36|R           |Eri          |vF, vS, R, bM                                        |                                             GALAXY|
