https://heasarc.gsfc.nasa.gov/cgi-bin/W3Browse/w3browse.pl

Results from heasarc_ngc2000: NGC2000.0: Complete New General Catalog and Index Catalog
Coordinate system:  Equatorial, angular diameter in minutes of arc
|name    |ra     |dec   |app_mag|app_mag_flag|limit_ang_diameter|ang_diameter|source_type|lii   |bii   |ref_revision|constellation|description                                          |class                                              |
|IC 2103 |04 39.8|-76 50|       |            |                  |  1.7       |Gx         |289.65|-33.65|C           |Men          |cF, vS, eE 80deg , stell N                           |                                             GALAXY|
|NGC 1520|03 57.5|-76 50|       |            |                  |            |OC         |291.19|-35.70|AA          |Men          |Cl, pL, lRi, st 9-10                                 |                                  OPEN STAR CLUSTER|
|IC 5040 |20 52.3|-76 40|       |            |                  |            |U          |316.70|-33.16|D           |Oct          |cB, S, R, susp                                       |                                       UNIDENTIFIED|
|NGC 2915|09 26.2|-76 38| 12.6  |            |                  |  1.5       |Gx         |291.97|-18.36|S           |Cha          |pF, pL, R, gbM                                       |                                             GALAXY|
|IC 2631 |11 09.8|-76 37|       |            |                  |            |U          |297.03|-14.92|D           |Cha          |*9 in L neb                                          |                                       UNIDENTIFIED|
|NGC 6557|18 21.4|-76 34|       |            |                  |            |Gx         |317.61|-24.61|AA          |Oct          |vF, vS, R, glbM                                      |                                             GALAXY|
|IC 5022 |20 41.1|-76 27|       |            |                  |  1.2       |Gx         |317.23|-32.64|C           |Oct          |eF, S, R, cbM, susp                                  |                                             GALAXY|
|NGC 3620|11 16.1|-76 13|       |            |                  |  2.8       |Gx         |297.23|-14.41|C           |Cha          |F, pS, pmE, gbM                                      |                                             GALAXY|
|IC 4522 |15 11.5|-75 52|       |            |                  |  2.9       |Gx         |311.29|-15.32|C           |Aps          |vF, vS, cbM, st inv                                  |                                             GALAXY|
|NGC 5967|15 48.1|-75 40| 12.0  |p           |                  |  2.9       |Gx         |313.29|-16.48|S           |Aps          |F, pL, R, vgbM                                       |                                             GALAXY|
|IC 4377 |14 17.0|-75 39|       |            |                  |  2.6       |Gx         |308.27|-13.67|C           |Aps          |eeF, vS, mE 180deg , vmbM                            |                                             GALAXY|
|IC 2089 |04 32.6|-75 33|       |            |                  |            |U          |288.50|-34.61|D           |Men          |eeF, vS, R, F* 1' f, susp                            |                                       UNIDENTIFIED|
