Webb Society Deep-Sky Observer's Handbook, Volume 2, Planetary and Gaseous Nebulae
A Catalogue of Gaseous Nebulae, 81 - 161, pg 100 - 124

WS   : Webb Society Catalog Index
Cat  : Catalog identifier, e.g., NGC or IC
RA   : Right Ascension
Dec  : Declination
m(s) : 
AD   : Apparent diameter in seconds of arc
Type :
Con  : Constellation

|WS  |Cat     |RA     |Dec   |m(s)  |AD     |Type    |Con|
| 139|Sh 61   |18 31.6|-05 02|13.0  |  2    |R       |Sct|
| 140|M1-92   |19 35.3|+29 29|20.0  |0.2x0.1|R       |Cyg|
| 141|NGC 6813|19 39.2|+27 14|      |  3    |E       |Sge|
| 142|NGC 6823|19 42.2|+23 15|      | 40x30 |E       |Vul|
| 143|NGC 6888|20 21.6|+38 21| 7.4  | 18x8  |E       |Cyg|
| 144|        |20 22.2|+40 42|      | 80x50 |E       |Cyg|
| 145|        |20 23.1|+38 26|      |       |E       |Cyg|
| 146|NGC 6914|20 23.9|+42 13| 9.0  | 13x12 |R       |Cyg|
| 147|        |20 30.0|+36 51| 6.3  |  7    |R       |Cyg|
| 148|IC 5067 |20 47.1|+44 16| 6.0  | 85x75 |E       |Cyg|
| 149|NGC 6960|20 49.5|+30 50|      |210    |SNR     |Cyg|
| 149|NGC 6979|20 49.5|+30 50|      |210    |SNR     |Cyg|
| 149|NGC 6992|20 49.5|+30 50|      |210    |SNR     |Cyg|
| 149|NGC 6995|20 49.5|+30 50|      |210    |SNR     |Cyg|
| 150|IC 5076 |20 55.0|+47 19| 5.8  |  9x6  |R       |Cyg|
| 151|NGC 7000|20 57.9|+44 14| 6.0  |120x100|E       |Cyg|
| 151|N Am Neb|20 57.9|+44 14| 6.0  |120x100|E       |Cyg|
| 152|NGC 7023|21 01.7|+68 04| 7.2  | 18    |R       |Cep|
| 153|        |21 02.4|+50 07|      |  3x2  |R       |Cyg|
| 154|NGC 7027|21 06.0|+42 08|      |0.4x0.3|E       |Cyg|
| 155|IC 1369 |
| 156|NGC 7076|
| 157|NGC 7129|
| 158|IC 5146 |
| 159|NGC 7538|
| 160|        |
| 161|NGC 7635|
